index,question,category,correct_answer,predicted_answer,raw_response,reasoning_length,is_correct
141,"Con la propria arte, la Chiesa del 600 si propone:",art_history,B,B,"La Chiesa del 600, attraverso l'arte, cercava di influenzare e convertire chi dubitava della fede cattolica, utilizzando immagini potenti e simboli per persuaderli.

FINALE: B",175,True
142,Individuare la parola scritta in modo NON corretto.,orthography,A,B,"Le parole ""abbrancare"", ""abbittare"" e ""addottare"" sono tutte forme verbali corrette (rispettivamente da ""brancare"", ""bittare"" e ""adottare""). ""Abbottare"" non esiste in italiano standard, quindi è l'opzione errata.

FINALE: B",223,False
143,"Nell'Odissea, Ulisse incontra i Feaci, popolo che vive sull'Isola di Scheria, oggi conosciuta come:",geography,B,B,"L'Odissea colloca Scheria in una posizione strategica tra l'Italia e la Grecia, vicino a Itaca. I Feaci sono associati alla cultura micenea, con influenze greche. La risposta più plausibile è Corfù, per la sua posizione e connessione mitologica.

FINALE: B",256,True
144,"Nella parola ""baule"" le lettere ""-au"" compongono...",orthography,C,D,"La sequenza ""-au"" in ""baule"" è formata da due vocali consecutive, ma non formano un dittongo perché non sono pronunciate come un'unica vocale (come in ""pai""). Non è un trittongo (tre vocali), né uno iato (vocalizzazione separata). Il termine corretto è ""tema"", che indica la parte fissa della radice.

FINALE: D",311,False
145,"""Esimere"" è un contrario di:",synonyms_and_antonyms,A,A,"""Esimere"" significa escludere o liberare da un obbligo, quindi il suo contrario è ""vincolare"", che invece significa imporre un obbligo.

FINALE: A",146,True
146,I lati di un triangolo rettangolo sono legati fra loro da una relazione detta:,tourism,B,B,"Il triangolo rettangolo ha i lati legati dal quadrato dell'ipotenusa che è uguale alla somma dei quadrati degli altri due lati. Questo è il Teorema di Pitagora.

FINALE: B",171,True
147,A quali anni risale l'olio su tela Cavallo+cavaliere+caseggiato di Umberto Boccioni presso la Galleria Nazionale di Arte Moderna e Contemporanea di Roma?,art_history,D,D,"Umberto Boccioni è un pittore futurista attivo all'inizio del XX secolo. L'opera *Cavallo + cavaliere + caseggiato* è tipica del suo stile dinamico e frammentato, che si colloca nel periodo futurista tra il 1910 e il 1915. Tra le opzioni, 1913-14 è il più plausibile, in quanto corrisponde al culmine della sua carriera prima della morte nel 1916.

FINALE: D",358,True
148,"Il territorio della Puglia, dal punto di vista fisico, è…",geography,C,A,"La Puglia è una regione prevalentemente pianeggiante e collinare, con una piccola percentuale di zone montuose (Gargano). Le paludi sono limitate, quindi l'opzione più plausibile è la A) 33% pianeggiante.

FINALE: A",215,False
149,"""Il poeta Catullo scrisse moltissimi componimenti amorosi""; nella frase precedente che funzione logica svolge il sostantivo ""poeta""?",orthography,A,C,"Il sostantivo ""poeta"" è il soggetto della frase, poiché è colui che compie l'azione espressa dal verbo ""scrisse"".

FINALE: C",124,False
150,Il lido del mare fa parte del:,civic_education,B,B,"Il lido del mare è una fascia costiera, quindi appartiene al demanio marittimo, che include le aree costiere e le acque marine.

FINALE: B",138,True
151,"Un sinonimo di ""tripudio"" è:",lexicon,D,D,"""Tripudio"" significa gioia esagerata o esultanza. Tra le opzioni:
- A) mestizia = tristezza → no
- B) frenesia = agitazione → no
- C) agitazione = ansia → no
- D) esultanza = gioia → sì

FINALE: D",196,True
152,"""Se affidate ad un buon amministratore, anche le ricchezze più modeste aumentano"". In questo periodo, la proposizione ""se affidate ad un buon amministratore"" è una:",orthography,D,D,"La frase ""se affidate ad un buon amministratore"" introduce una condizione ipotetica, ma non è espressa in modo diretto (con il congiuntivo). È quindi una subordinata condizionale **implicita**, poiché il verbo è al congiuntivo (affidate) e la struttura è ipotetica ma non esplicitamente condizionale come in ""se... allora..."".

FINALE: D",337,True
153,"La serie ""Ostaggi"" di Jean Fautrier venne ideata in seguito a quale evento che il pittore vide ?",art_history,D,D,"Jean Fautrier era un artista francese attivo durante la Seconda Guerra Mondiale. La sua serie ""Ostaggi"" (Ostages) rifletteva probabilmente l'esperienza della Resistenza francese e delle violenze naziste. La risposta più plausibile è legata a un evento traumatico come la tortura o la cattura.

FINALE: D",303,True
154,"""Consonanza di suoni vocali o strumentali che producono un effetto gradevole"". La precedente definizione corrisponde a:",lexicon,A,A,"La definizione descrive l'accordo gradevole tra suoni vocali o strumentali, che è tipico dell'armonia.

FINALE: A",113,True
155,"Nel 1865 lo Stato italiano, pressato dalle difficoltà finanziarie:",tourism,A,A,"Il 1865 è un periodo in cui l'Italia era recentemente unificata e aveva bisogno di risorse economiche. Le ferrovie erano un settore strategico, ma lo Stato non aveva i mezzi per gestirle efficacemente. La vendita di beni pubblici come le ferrovie ai privati era una soluzione comune in quel contesto storico.

FINALE: A",319,True
156,"Nella frase: ""Tutti notarono che era assente"", ""che era assente"" è una proposizione:",literature,B,C,"La frase ""che era assente"" introduce una informazione secondaria legata al verbo ""notarono"". Non è una proposizione principale né esprime un giudizio soggettivo, ma funziona come una subordinata relativa che specifica chi o cosa è stato notato.

FINALE: C",255,False
157,"Per la Festa del Grano, quale segno di ringraziamento a San Rocco per l'abbondante raccolto del grano, vi è la sfilata con grandi riproduzioni in paglia di frontespizi di facciate di cattedrali. Dove viene celebrata?",tourism,B,C,"La Festa del Grano è una tradizione legata al ringraziamento per il raccolto, tipica di zone agricole. Le riproduzioni in paglia di frontespizi di cattedrali sono un elemento decorativo tipico di alcune festività rurali italiane, in particolare nel Sud. Tra le opzioni, S. Agata de' Goti è nota per questa tradizione, legata alla devozione a San Rocco.

FINALE: C",363,False
158,"Come si forma il plurale dei nomi in ""-cia"" e ""-gia"" (con la i atona) se i gruppi ""-cia"" e ""-gia"" sono preceduti da una vocale?",morphology,B,C,"I nomi in ""-cia"" e ""-gia"" (con la i atona) formano il plurale con ""-ce"" e ""-ge"" quando sono preceduti da una vocale, come in ""valigia"" → ""valige"" e ""spiaggia"" → ""spiagge"".

FINALE: C",182,False
159,Quanta parte delle terre emerse occupa l'Italia?,geography,A,D,"L'Italia ha una superficie di circa 301.340 km² (dato ISTAT), che è molto minore rispetto alle opzioni A e B (che parlano di parti delle terre emerse globali). La C è errata perché 43° parte dell'Europa è un valore spropositato. La D è sbagliata perché il dato è approssimativo e non esatto.

FINALE: D",302,False
160,"Al momento del consumo, la Mela Annurca si presenta uniformemente di colore",tourism,C,C,"La Mela Annurca è una varietà italiana tipica della Campania, nota per il suo colore rosso intenso e la buccia ruvida. Ricordo che è spesso utilizzata in ricette tradizionali come il ""marzapane"" o consumata fresca. Il suo aspetto è caratteristico e riconoscibile per il colore rosso.

FINALE: C",294,True
161,"Nella seguente frase individuare il grado dell'aggettivo qualificativo: ""l'insegnante di Cristiana è severissimo con i ritardatari"".",syntax,A,A,"L'aggettivo ""severissimo"" è formato dal superlativo assoluto del superlativo relativo ""severissimi"" (con l'aggiunta del suffisso -issimo), indicando un grado estremo e non confrontato con altri elementi.

FINALE: A",214,True
162,Si considerino con attenzione i seguenti quattro termini e si individui quello scritto in modo non corretto.,morphology,D,D,"Il termine ""contratempo"" è scritto correttamente, ma se si considera il contesto della domanda, potrebbe esserci un errore ortografico in uno dei termini. Tuttavia, tutti i termini elencati (irriverente, proprietario, orsacchiotto, contratempo) sono scritti correttamente in italiano.

FINALE: D",295,True
163,"Nella frase ""Gerry fu condannato all'ergastolo per un crimine che non aveva commesso"" che funzione logica svolge l'espressione ""all'ergastolo""?",orthography,A,A,"L'espressione ""all'ergastolo"" indica il tipo di pena inflitta, quindi è un complemento di pena.

FINALE: A",106,True
164,"Papa Francesco, all'anagrafe Jorge Mario Bergoglio, nasce a Buenos Aires all'interno di una famiglia le cui origini sono italiane, nello specifico di quale regione italiana è originaria la famiglia?",current_events,A,A,"La famiglia di Papa Francesco ha origini italiane, in particolare dalla regione del Piemonte, come è noto che i suoi nonni paterni provenivano da Portacomaro, un piccolo paese in provincia di Asti.

FINALE: A",208,True
165,Qual è il soggetto nella frase: Stamani i bambini sono stati colti di sorpresa da una pioggia di coriandoli?,syntax,D,D,"Il soggetto della frase è chi compie l'azione o subisce l'azione principale. Qui, ""i bambini"" sono colti di sorpresa, quindi sono il soggetto.

FINALE: D",153,True
166,In quale regione sono generalmente ambientati i romanzi di Carlo Sgorlon?,literature,A,A,"Carlo Sgorlon è uno scrittore italiano noto per i suoi romanzi ambientati in Friuli, una regione del Nord-Est d'Italia. La sua opera più famosa, ""Il treno di panna"", è ambientata proprio in questa zona. Le sue storie spesso riflettono la cultura e il paesaggio del Friuli Venezia Giulia.

FINALE: A",298,True
167,"Quale tra i seguenti è un contrario di ""vanesio""?",synonyms_and_antonyms,D,D,"""Vanesio"" significa vanitoso o presuntuoso. Tra le opzioni, il contrario è ""serio"", che indica una persona modesta e non superficiale.

FINALE: D",145,True
168,"Qual è il significato del termine ""sinossi""?",lexicon,D,D,"Il termine ""sinossi"" è comunemente associato al cinema e alla letteratura come riassunto conciso di un'opera o di un'idea. Tra le opzioni, ""riassunto di una materia"" (D) è il significato più generico e corretto, anche se in contesti specifici può riferirsi a una prima stesura cinematografica (C). Tuttavia, in senso ampio, la sinossi è un riassunto.

FINALE: D",361,True
169,Soprannome della Nazionale italiana maschile di pallanuoto:,tourism,A,A,"La Nazionale italiana di pallanuoto è famosa per il suo colore azzurro, che compare in diverse squadre italiane. Il soprannome ""Valanga azzurra"" è associato anche ad altre squadre italiane come il rugby, ma per la pallanuoto è più noto come ""Settebello"".

FINALE: A",265,True
170,LA LEGGE N. 15 DEL 2009 IN MATERIA DI OTTIMIZZAZIONE DELLA PRODUTTIVITA' DEL LAVORO PUBBLICO E DI EFFICIENZA E TRASPARENZA DELLE P.A. E' NOTA COME:,current_events,A,A,"La legge n. 15 del 2009 riguarda ottimizzazione della produttività del lavoro pubblico e trasparenza della PA. Il nome ""Brunetta"" è associato a riforme del lavoro pubblico in Italia, mentre Gelmini e Maroni sono legati ad altri settori (istruzione e federalismo). La risposta più plausibile è A.

FINALE: A",306,True
171,"Quale tra i vocaboli seguenti è un sinonimo di ""indigente""?",literature,B,B,"""Indigente"" significa povero o privo di mezzi. Tra le opzioni, ""povero"" (B) è il sinonimo diretto. ""Facoltoso"" (A) è l'opposto, ""antipatico"" (C) e ""indiscreto"" (D) non sono collegati al significato.

FINALE: B",209,True
172,"Che tipo di proposizione contiene la frase: Se mi fossi laureato a gennaio, adesso potrei dare l'esame per diventare ricercatore come il mio compagno di studi?",syntax,A,B,"La frase contiene un'ipotesi non realizzata (se mi fossi laureato a gennaio) che introduce una conseguenza ipotetica (adesso potrei dare l'esame). Questo struttura tipica delle proposizioni **modali**, che esprimono possibilità o necessità.

FINALE: B",251,False
173,"Nella frase ""Poi, alla fine dell'estate 1908, mio zio si innamoro; per chiuncue altro sarebbe stata un'infatuazione adolescienziale, una fiamma passeggiera, da dimenticare entro una settimana"", sono presenti:",orthography,D,B,"1. ""Innamoro"" dovrebbe essere ""innamorò"" (accordo del verbo).
2. ""Chiuncue"" è un errore di battitura, dovrebbe essere ""chiunque"".
3. ""Adolescienziale"" è sbagliato, corretto è ""adolescenziale"".

FINALE: B",203,False
174,Quale delle seguenti alternative è scritta in modo ERRATO?,morphology,D,D,"La forma corretta è ""qual è"", quindi ""qual'è"" è scritta in modo errato.

FINALE: D",82,True
175,"Quale dei seguenti termini è sinonimo di ""ridanciano""?",synonyms_and_antonyms,A,A,"Il termine ""ridanciano"" significa allegro e sorridente. Tra le opzioni, ""allegro"" (A) è il sinonimo più diretto.

FINALE: A",123,True
176,"Quale dei seguenti termini NON è sinonimo di "" arcano ""?",synonyms_and_antonyms,B,B,"""Arcano"" significa nascosto o difficile da comprendere. ""Inspiegabile"" e ""misterioso"" sono sinonimi, mentre ""occulto"" significa nascosto ma non necessariamente incompribile. ""Evidente"" è l'opposto, significa chiaro e visibile.

FINALE: B",237,True
177,In ambito economico cosa si intende col termine «aggiotaggio»?,current_events,D,D,"L'aggiotaggio si riferisce all'alterazione del mercato attraverso notizie false o manipolazioni, quindi l'opzione D descrive correttamente il reato.

FINALE: D",159,True
178,Una guida che accompagni un gruppo alla FONDAZIONE PLART di Napoli sta per:,tourism,A,A,"La Fondazione Plart di Napoli è famosa per la sua collezione di plastiche storiche, quindi la risposta corretta è A.

FINALE: A",127,True
179,Individuare il contrario della parola data: città.,synonyms_and_antonyms,C,C,"La parola ""città"" si riferisce a un centro urbano, quindi il suo contrario potrebbe essere un'area non urbana o rurale. Tra le opzioni, ""paese"" (opzione C) è il termine che meglio rappresenta un contesto rurale o non urbano, in contrasto con l'ambiente urbano della città.

FINALE: C",283,True
180,"Nella frase ""il rientro in città si è rivelato molto disagevole per il traffico e per il maltempo"" che funzione logica svolgono le espressioni ""molto disagevole"" e ""per il traffico""?",syntax,B,B,"""Molto disagevole"" è un aggettivo che descrive il soggetto ""rientro"", quindi è un **complemento predicativo del soggetto** (con l'attributo ""molto""). ""Per il traffico"" indica la causa del disagio, quindi è un **complemento di causa**.

FINALE: B",245,True
181,"Nella fonologia italiana si ha elisione quando due parole contigue iniziano e finiscono per vocale; l'apostrofo è il segno grafico che indica la cadutadi una vocale nell'elisione; in riferimento a questo, quale delle seguenti forme è corretta?",morphology,D,E,"L'elisione in italiano si verifica quando due parole contigue (come ""pover"" + ""uomo"") perdono una vocale finale e iniziale, e l'apostrofo segna questa caduta. Tra le opzioni:

- ""Pover uomo"" (A) non usa l'apostrofo, quindi è sbagliata.
- ""Pover'uomo"" (D) usa correttamente l'apostrofo per l'elisione.

Le altre opzioni (A, B) non sono rilevanti o errate.

FINALE: D",365,False
182,"""Lucio è bravissimo nel raccontare barzellette""; nel periodo precedente oltre alla principale è presente una proposizione....",orthography,D,C,"La frase ""Lucio è bravissimo nel raccontare barzellette"" contiene solo la proposizione principale. Tuttavia, se consideriamo il contesto della domanda, la parte ""nel raccontare barzellette"" funge da complemento oggettivo, ma non introduce una subordinata. Tra le opzioni date, nessuna descrive correttamente una proposizione presente nel periodo. Tuttavia, se si interpretasse ""nel raccontare barzellette"" come una proposizione subordinata (anche se non è una subordinata tipica), la più vicina potrebbe essere una **subordinata aggiuntiva** (C), anche se tecnicamente non è una subordinata.

FINALE: C",602,False
183,Chi firmò i Patti Lateranensi?,civic_education,B,B,"I Patti Lateranensi furono firmati nel 1929 tra il Regno d'Italia e lo Stato della Città del Vaticano, stabilendo i rapporti tra Chiesa e Stato in Italia. Il principale firmatario per l'Italia fu Benito Mussolini, allora capo del governo fascista.

FINALE: B",258,True
184,"Quale tra i seguenti è un contrario di ""rarefatto""?",lexicon,B,A,"""Rarefatto"" significa poco denso o poco frequente. Il contrario quindi è ""frequente"", che indica qualcosa che accade spesso o è denso.

FINALE: A",145,False
185,Come si intitolava il celebre articolo pubblicato da Sonnino nel gennaio del 1897 nel quale fu avanzata la richiesta di un sostanziale depotenziamento della Camera elettiva?,history,C,C,"L'articolo di Sonnino del 1897 criticava il parlamentarismo e proponeva un ritorno a un sistema più autoritario, in linea con le sue idee conservatrici. Il titolo ""Torniamo allo Statuto"" rifletteva l'idea di un ritorno alle origini monarchiche e autoritarie del Regno d'Italia, prima delle riforme parlamentari.

FINALE: C",322,True
186,"Quando avvenne la famosa ""disfatta di Caporetto""?",history,C,C,"La disfatta di Caporetto è un evento storico della Prima Guerra Mondiale, noto per essere stata una sconfitta italiana contro le truppe austro-tedesche. Ricordo che avvenne in autunno, e tra le opzioni, ottobre-novembre 1917 sembra plausibile.

FINALE: C",254,True
187,"Al fine di liberare il più possibile il Paese dal peso delle importazioni, soprattutto quelle dei prodotti necessari all'industria bellica, venne imposta nel 1934 dal fascismo una politica detta:",history,C,C,"Il fascismo impose una politica di autosufficienza per ridurre le dipendenze esterne, in particolare per i materiali bellici. Il termine tecnico era ""autarchia"", che significa autosufficienza economica.

FINALE: C",213,True
188,"Nella frase ""c'è stato il sole per tre giorni, ma ora è nuvoloso"" che funzione logica svolge l'espressione ""per tre giorni""?",orthography,D,C,"L'espressione ""per tre giorni"" indica il tempo in cui si è verificata l'azione del sole, specificando la durata. Si tratta quindi di un complemento di tempo determinato (o limitato), non continuato.

FINALE: C",209,False
189,L'Agenzia Nazionale del Turismo è dotata di autonomia:,tourism,A,A,"L'Agenzia Nazionale del Turismo in Italia (come ENIT) ha autonomia statutaria, regolamentare, organizzativa, patrimoniale, contabile e di gestione, come stabilito dalla legge istitutiva (L. 110/2017).

FINALE: A",211,True
190,Lessi l'articolocon grande cura. La parte in corsivo è un complemento:,syntax,B,D,"La parte in corsivo ""con grande cura"" modifica il verbo ""lessi"", indicando come è stato compiuto l'azione. Questo è tipico di un complemento avverbiale.

FINALE: D",163,False
191,"""Compunto"" significa:",lexicon,D,B,"Il termine ""compunto"" non è standard in italiano, ma sembra derivare da ""com-punto"", che potrebbe richiamare l'idea di essere ""forato"" (come un ago che punge). Tra le opzioni, ""forato"" (B) è la più plausibile.

FINALE: B",220,False
192,A cosa si fa riferimento con l'espressione «quote rosa»?,current_events,C,C,"L'espressione «quote rosa» si riferisce alle misure che stabiliscono percentuali minime di donne in posizioni decisionali o ruoli istituzionali per garantire parità di genere.

FINALE: C",186,True
193,Dove ha la sede la FAO?,civic_education,A,A,"La FAO (Organizzazione delle Nazioni Unite per l'Alimentazione e l'Agricoltura) ha sede a Roma, in Italia. Lo ricordo perché è una delle agenzie ONU più note e la sua posizione è spesso menzionata in contesti internazionali.

FINALE: A",235,True
194,Individuare il sinonimo di “stereotipato”:,synonyms_and_antonyms,A,A,"""Stereotipato"" significa ripetitivo o banale, quindi il sinonimo più adatto è ""scontato"".

FINALE: A",100,True
195,Le elezioni del 1919 si tennero:,history,B,B,"Le elezioni del 1919 in Italia si tennero col sistema proporzionale, che era stato introdotto per garantire una rappresentanza più equa ai partiti minori. Il sistema maggioritario a scrutinio di lista (A) e il maggioritario a turno unico (C) non erano in uso in quel periodo.

FINALE: B",286,True
196,Dal 1581 al 1806 di quale famiglia fu feudo Avellino?,tourism,C,B,"La famiglia dei Sanseverino è storicamente legata ad Avellino, ma il periodo 1581-1806 corrisponde al dominio dei Filangieri, noti per la loro influenza nella zona.
FINALE: B",174,False
197,"In seguito a quale scontro tra placche, si è formato il continente Italiano?",geography,A,A,"La penisola italiana si è formata principalmente dallo scontro tra la placca africana e quella eurasiatica, che ha causato la collisione tra l'Africa e l'Europa meridionale, sollevando i rilievi appenninici e le Alpi.

FINALE: A",228,True
198,"Quale soggetto è considerato dalla Costituzione ""straniero""?",civic_education,C,C,"La Costituzione italiana definisce straniero chi non ha la cittadinanza italiana, indipendentemente dalla residenza o dal fatto di essere stato in Italia. La cittadinanza è il criterio chiave.

FINALE: C",203,True
199,Come si caratterizzò la gestione austriaca del Lombardo-Veneto?,tourism,C,C,"La gestione austriaca del Lombardo-Veneto fu contraddittoria: da un lato ci furono riforme amministrative e scolastiche, ma dall'altro lo sfruttamento economico per il beneficio dell'impero. Le riforme non migliorarono significativamente la condizione dei ceti medi.

FINALE: C",277,True
200,"Quale fra queste poesie leopardiane non appartiene al ""Ciclo di Aspasia""?",literature,C,B,"Il ""Ciclo di Aspasia"" raccoglie poesie dedicate a Teresa Fattorini, soprannominata Aspasia da Leopardi. Tra quelle elencate, ""Consalvo"" (B) non fa parte del ciclo, poiché è un componimento legato a tematiche diverse, mentre le altre sono tutte indirizzate ad Aspasia.

FINALE: B",278,False
201,Quale tra i seguenti termini è una parola piana?,morphology,D,D,"Le parole piane (o bisillabe) hanno due sillabe e l'accento tonico cade sulla prima sillaba. Analizzando le opzioni:

- A) Specialità: trisillaba, accento su ""ità"".
- B) Livido: trisillaba, accento su ""li"".
- C) Arido: trisillaba, accento su ""à"".
- D) Recare: bisillaba, accento su ""re"".

FINALE: D",298,True
202,Località balneare del Parco Nazionale del Cilento e Vallo di Diano:,tourism,B,B,"Il Parco Nazionale del Cilento e Vallo di Diano include località come Palinuro e Acciaroli, ma tra le opzioni, Camerota è una rinomata località balneare della zona.

FINALE: B",175,True
203,"Manifestazione di Praiano che vede la partecipazione di tutti i cittadini, che, con singolari ed affascinanti illuminazioni a cera, ad olio e grandi falò fatti con “fascine”, adornano le terrazze, le finestre, i giardini, le stradine..",tourism,B,A,"La descrizione menziona illuminazioni a cera, olio e falò con fascine, tipiche di una festa legata alla luce e alla tradizione locale. La ""Festa della Luce"" (opzione A) è un evento diffuso in vari luoghi, ma non specifico di Praiano. La ""Luminaria di S. Domenico"" (opzione B) è una manifestazione di Alghero, non di Praiano. ""Lux Gentis"" (opzione C) è un evento di Amalfi, ma non è descritto con falò e fascine.

FINALE: A",422,False
204,Di quale movimento artistico fu simbolo Gabriele D'Annunzio?,literature,D,D,"Gabriele D'Annunzio è noto per il suo stile estetizzante e decadente, con temi come l'eccesso e la ricerca del piacere. Il Decadentismo valorizza l'arte per l'arte e l'individualismo, che corrisponde perfettamente alla sua opera. Le altre opzioni non si adattano al suo stile.

FINALE: D",287,True
205,"DOVE EBBE LUOGO IL PRIMO IMPORTANTE EPISODIO INSURREZIONALE DEL 1848, IL 13 MARZO?",art_history,A,A,"Il 13 marzo 1848, le rivolte di Vienna furono cruciali per il movimento liberale in Europa, con l'abolizione della censura e la caduta del cancelliere Metternich.
Londra e Madrid non ebbero episodi altrettanto significativi in quella data.
FINALE: A",249,True
206,Boria può essere un contrario di…,synonyms_and_antonyms,C,C,"Boria è un termine che significa orgoglio o superbia, quindi il suo contrario è l'umiltà.

FINALE: C",100,True
207,"Un sinonimo di ""ritrosia"" è:",literature,D,B,"""Ritrosia"" significa esitazione o riluttanza, quindi cerchiamo un sinonimo che abbia lo stesso significato.

- ""Compiacenza"" (A) significa disponibilità ad assecondare gli altri, non è un sinonimo.
- ""Ritrazione"" (B) significa il gesto di tirare indietro qualcosa, non è un sinonimo.
- ""Ristagno"" (C) significa stasi, non è un sinonimo.
- ""Riservatezza"" (D) significa discrezione, ma non è un sinonimo diretto di ""ritrosia"".

Il termine più vicino è ""ritrazione"", anche se non perfetto.

FINALE: B",497,False
208,E' nel modo condizionale la forma verbale…,orthography,D,D,"La forma verbale ""entrerete"" (opzione B) è nel modo indicativo futuro semplice, non condizionale.
La forma condizionale del verbo ""entrare"" nella seconda persona plurale è ""entrereste"" (opzione D).
Le altre opzioni sono:
- ""entraste"" (passato remoto, 2° pers. pl., indicativo)
- ""sarete entrati"" (futuro anteriore passivo, 2° pers. pl.).

FINALE: D",348,True
209,DI QUALE CITTA' ITALIANA FURONO SIGNORI I VISCONTI?,art_history,A,A,"I Visconti furono una potente famiglia nobiliare italiana che governò Milano e il suo territorio nel Medioevo. La loro influenza è legata soprattutto a questa città, dove costruirono palazzi e influenzarono l'arte e la politica. Firenze e Venezia, invece, furono dominate da altre famiglie come i Medici e i Dogi.

FINALE: A",324,True
210,"Si indichi quale è la corretta divisione in sillabe della parola ""Calceo"":",morphology,D,C,"La divisione in sillabe della parola ""calceo"" deve seguire le regole della morfologia italiana. La ""l"" è una consonante che non può andare sola, quindi va legata alla vocale successiva. La ""c"" è una consonante che va divisa se seguita da vocale diversa (qui ""e""). Quindi, la divisione corretta è ""cal-ceo"".

FINALE: C",317,False
211,"Riguardo alla posizione della sillaba tonica, indicare quale delle seguenti è una parola tronca.",morphology,A,C,"Le parole tronche hanno l'accento sulla prima sillaba e sono monosillabiche o bisillabiche con accento sulla prima sillaba. Tra le opzioni:

- A) Omertà: accentata sulla penultima sillaba (proparossitona).
- B) Uncinetto: accentata sulla terzultima sillaba (sdrucciola).
- C) Occhio: accentata sulla prima sillaba (tronca).
- D) Tenda: accentata sulla penultima sillaba (proparossitona).

FINALE: C",398,False
212,Joseph Aloisius Ratzinger è il nome del Papa:,current_events,D,D,"Joseph Aloisius Ratzinger è noto come Papa Benedetto XVI, succeduto a Giovanni Paolo II.
La risposta corretta è D) Benedetto XVI.

FINALE: D",140,True
213,L'A30 è l'autostrada che collega:,tourism,C,C,"L'A30 è l'autostrada che collega Salerno e Caserta, come posso verificare dalla mappa autostradale italiana.

FINALE: C",119,True
214,"Quale soggetto è individuato dalle stazioni appaltanti, su proposta del responsabile unico del procedimento?",civic_education,A,A,"Il direttore dei lavori può essere affiancato da figure diverse in base alla complessità dell'intervento, come direttori operativi e ispettori di cantiere.

FINALE: A",166,True
215,"Nella frase ""L'inquinamento atmosferico è dannoso per la salute"", ""per la salute"" è un complemento di:",orthography,C,C,"La frase ""L'inquinamento atmosferico è dannoso per la salute"" indica che l'inquinamento ha un effetto negativo sulla salute, quindi ""per la salute"" specifica il campo in cui si manifestano gli effetti negativi.

FINALE: C",221,True
216,Complesso industriale in cui è concentrato uno dei più importanti poli industriali dell'oreficeria italiana. Ci riferiamo al:,tourism,A,A,"Il nome ""Tarì"" è storicamente legato all'oreficeria napoletana, e Marcianise è un centro importante per l'oreficeria in Italia. La combinazione ""Tarì di Marcianise"" suona plausibile come denominazione di un polo industriale orafio.

FINALE: A",242,True
217,"A quale epoca storica risale l’Anfiteatro di Paestum, che è fra gli esempi più antichi di questo genere di edifici?",tourism,B,C,"L'Anfiteatro di Paestum è un esempio di architettura romana antica. La sua costruzione risale al I secolo a.C., durante il periodo della Repubblica Romana. Le altre opzioni (vittoriana e cesarea) non corrispondono all'epoca romana.

FINALE: C",242,False
218,"Come viene chiamato l'Istituto poligrafico nazionale in cui vengono stampate, tra le altre cose, le banconote?",current_events,A,A,"La Zecca dello Stato è il nome corretto per l'istituto che produce banconote e monete in Italia. Le altre opzioni (""Risma"", ""Pulce"", ""Barile"") non sono termini associati a questo contesto.

FINALE: A",199,True
219,"Trasformare da attiva in passiva, correttamente e senza ulteriori modifiche, la frase ""Maggiore rispetto al 2009 il numero di coppie che hanno chiesto il divorzio""",orthography,D,D,"La frase originale è attiva (""hanno chiesto""), quindi nella forma passiva il soggetto (coppie) deve diventare complemento oggetto e il verbo deve essere coniugato in passivo.

L'opzione corretta è D, perché:
- ""da cui"" introduce il complemento d'agente in forma passiva.
- ""è stato chiesto"" è il verbo in passiva.

FINALE: D",324,True
220,"Chi disse del socialismo:&lt;&lt;Se non è umano, non è niente&gt;&gt;?",current_events,C,D,"La frase ""Se non è umano, non è niente"" è associata a Enrico Berlinguer, che era un leader del PCI (Partito Comunista Italiano) e ha sempre insistito sull'importanza dei valori umani e democratici nel socialismo.

FINALE: D",223,False
221,"La voce verbale ""eri stato promosso"" è espressa nel...",orthography,A,A,"La voce verbale ""eri stato promosso"" è al modo indicativo (concreto), tempo trapassato prossimo (azione passata con ""essere"" ausiliare), seconda persona singolare (""eri""), e forma passiva (""stato promosso"").

FINALE: A",218,True
222,"Tra le seguenti forme verbali, quale è ortograficamente scorretta?",morphology,C,C,"La forma verbale ""inviate"" (opzione C) è scorretta perché il congiuntivo imperfetto della seconda persona plurale del verbo ""inviare"" è ""inviiate"", non ""inviate"". Le altre opzioni sono corrette: A) ""invii"" (congiuntivo presente 2° singolare), B) ""inviiate"" (congiuntivo imperfetto 2° plurale), D) ""inviino"" (congiuntivo presente 3° plurale).

FINALE: C",352,True
223,Il prodotto di Montella che ha ottenuto il riconoscimento IGP è:,tourism,B,C,"La Noce di Montella è un prodotto tipico della Campania con riconoscimento IGP, noto per la sua qualità e il suo sapore unico.
Il tartufo e la castagna non sono associati specificamente a Montella in modo rilevante per l'IGP.
FINALE: C",235,False
224,Che tipo di complemento contiene la frase: Mauro correva a perdifiato con lo zaino in spalla?,syntax,C,C,"La frase ""Mauro correva a perdifiato con lo zaino in spalla"" contiene il complemento ""con lo zaino in spalla"", che descrive come Mauro si trovava mentre correva, indicando quindi il modo in cui si svolge l'azione.

FINALE: C",224,True
225,"Nella frase: ""Mia nonna vive in una vecchia cascina in campagna"", ""mia"" è:",literature,C,B,"""Mia"" indica possesso e si riferisce al soggetto ""nonna"". Non è un articolo (A), né un avverbio (D). Non è neanche un aggettivo (C) perché gli aggettivi descrivono qualità, mentre ""mia"" indica proprietà. Quindi è un pronome possessivo.

FINALE: B",246,False
